variables,units,values,description
materials.rho_fiber,kg/m**3,"[   0.     0.     0.     0.  2535.5 1800.  2535.5 2535.5    0.     0.
    0.     0. ]",1D array of the density of the fibers of the materials.
materials.rho,kg/m**3,[1235. 7800. 7850. 7200. 1940. 1220. 1940. 1940.  130. 1150. 1100. 5000.],"1D array of the density of the materials. For composites, this is the density of the laminate."
materials.rho_area_dry,kg/m**2,"[0.         0.         0.         0.         7.22716222 1.
 1.44543244 1.44543244 0.         0.         0.         0.        ]",1D array of the dry aerial density of the composite fabrics. Non-composite materials are kept at 0.
materials.ply_t_from_yaml,m,"[0.0005     0.         0.         0.         0.005      0.00515873
 0.001      0.001      0.         0.         0.         0.        ]",1D array of the ply thicknesses of the materials. Non-composite materials are kept at 0.
materials.fvf_from_yaml,,"[0.         0.         0.         0.         0.57       0.10769231
 0.57       0.57       0.         0.         0.         0.        ]",1D array of the non-dimensional fiber volume fraction of the composite materials. Non-composite materials are kept at 0.
materials.fwf_from_yaml,,"[0.         0.         0.         0.         0.74506827 0.15889029
 0.74506827 0.74506827 0.         0.         0.         0.        ]",1D array of the non-dimensional fiber weight- fraction of the composite materials. Non-composite materials are kept at 0.
materials.name,Unavailable,"['Gelcoat', 'steel', 'steel_drive', 'cast_iron', 'glass_uni', 'CarbonUD', 'glass_biax', 'glass_triax', 'medium_density_foam', 'resin', 'adhesive', 'slurry']",1D array of names of materials.
materials.component_id,Unavailable,[ 0. -1. -1. -1.  5.  4.  3.  2.  1. -1. -1. -1.],"1D array of flags to set whether a material is used in a blade: 0 - coating, 1 - sandwich filler , 2 - shell skin, 3 - shear webs, 4 - spar caps, 5 - TE/LE reinf."
hub.diameter,m,[7.94],
blade.outer_shape_bem.s_default,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]","1D array of the non-dimensional spanwise grid defined along blade axis (0-blade root, 1-blade tip)"
blade.outer_shape_bem.chord_yaml,m,"[5.2        5.22887246 5.32139979 5.45815745 5.60208124 5.7149807
 5.76363444 5.71224007 5.53582246 5.29044097 5.03463453 4.81672445
 4.62324607 4.43206715 4.24549389 4.06615176 3.89609019 3.73526065
 3.57925926 3.42454996 3.26797252 3.11192294 2.957081   2.79989844
 2.63637418 2.46388072 2.28337164 2.09542709 1.90110459 0.5       ]",1D array of the chord values defined along blade span.
blade.outer_shape_bem.twist_yaml,rad,"[ 0.2721763   0.26992801  0.2563329   0.2326505   0.20320129  0.17344216
  0.14752285  0.12744411  0.10877177  0.09132168  0.07589199  0.06303303
  0.05204914  0.04229482  0.03361651  0.02566311  0.01844477  0.01210622
  0.00620216  0.00030882 -0.00625905 -0.01456193 -0.02395862 -0.03225994
 -0.03716044 -0.03788907 -0.03676576 -0.03390983 -0.0289241  -0.02168376]",1D array of the twist values defined along blade span. The twist is defined positive for negative rotations around the z axis (the same as in BeamDyn).
blade.outer_shape_bem.pitch_axis_yaml,,"[0.50454545 0.47807489 0.44666867 0.41440788 0.38531574 0.35926808
 0.33884066 0.32530381 0.31669675 0.31094145 0.30683687 0.30290422
 0.29845254 0.29405791 0.29071241 0.28853755 0.28784499 0.28836262
 0.29021159 0.29324433 0.29725802 0.30201843 0.30725241 0.31257925
 0.31849838 0.32578924 0.3342759  0.3438038  0.35500776 0.36818182]","1D array of the chordwise position of the pitch axis (0-LE, 1-TE), defined along blade span."
blade.outer_shape_bem.ref_axis_yaml,m,"[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 3.48488731e-02  0.00000000e+00  4.03448276e+00]
 [ 8.35849537e-02  0.00000000e+00  8.06896552e+00]
 [ 1.39221829e-01  0.00000000e+00  1.21034483e+01]
 [ 1.91500748e-01  0.00000000e+00  1.61379310e+01]
 [ 2.30939940e-01  0.00000000e+00  2.01724138e+01]
 [ 2.49056478e-01  0.00000000e+00  2.42068966e+01]
 [ 2.49556450e-01  0.00000000e+00  2.82413793e+01]
 [ 2.46144107e-01  0.00000000e+00  3.22758621e+01]
 [ 2.40410508e-01  0.00000000e+00  3.63103448e+01]
 [ 2.32895278e-01  0.00000000e+00  4.03448276e+01]
 [ 2.16929943e-01  0.00000000e+00  4.43793103e+01]
 [ 1.75665546e-01  0.00000000e+00  4.84137931e+01]
 [ 1.00176811e-01  0.00000000e+00  5.24482759e+01]
 [-4.58517075e-04  0.00000000e+00  5.64827586e+01]
 [-1.13006389e-01  0.00000000e+00  6.05172414e+01]
 [-2.44050977e-01  0.00000000e+00  6.45517241e+01]
 [-4.16510188e-01  0.00000000e+00  6.85862069e+01]
 [-6.21633422e-01  0.00000000e+00  7.26206897e+01]
 [-8.46385439e-01  0.00000000e+00  7.66551724e+01]
 [-1.08030800e+00  0.00000000e+00  8.06896552e+01]
 [-1.33007939e+00  0.00000000e+00  8.47241379e+01]
 [-1.60264478e+00  0.00000000e+00  8.87586207e+01]
 [-1.89518421e+00  0.00000000e+00  9.27931034e+01]
 [-2.20238659e+00  0.00000000e+00  9.68275862e+01]
 [-2.52341668e+00  0.00000000e+00  1.00862069e+02]
 [-2.86414227e+00  0.00000000e+00  1.04896552e+02]
 [-3.22562784e+00  0.00000000e+00  1.08931034e+02]
 [-3.60522070e+00  0.00000000e+00  1.12965517e+02]
 [-4.00000000e+00  0.00000000e+00  1.17000000e+02]]","2D array of the coordinates (x,y,z) of the blade reference axis, defined along blade span. The coordinate system is the one of BeamDyn: it is placed at blade root with x pointing the suction side of the blade, y pointing the trailing edge and z along the blade span. A standard configuration will have negative x values (prebend), if swept positive y values, and positive z values."
blade.outer_shape_bem.span_end,,[],1D array of the positions along blade span where something (a DAC device?) starts and we want a grid point. Only values between 0 and 1 are meaningful.
blade.outer_shape_bem.span_ext,,[],1D array of the extensions along blade span where something (a DAC device?) lives and we want a grid point. Only values between 0 and 1 are meaningful.
blade.pa.s,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]","1D array of the non-dimensional spanwise grid defined along blade axis (0-blade root, 1-blade tip)"
blade.pa.s_opt_twist,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade twist angle
blade.pa.twist_opt,rad,"[ 0.2721763   0.26992801  0.2563329   0.2326505   0.20320129  0.17344216
  0.14752285  0.12744411  0.10877177  0.09132168  0.07589199  0.06303303
  0.05204914  0.04229482  0.03361651  0.02566311  0.01844477  0.01210622
  0.00620216  0.00030882 -0.00625905 -0.01456193 -0.02395862 -0.03225994
 -0.03716044 -0.03788907 -0.03676576 -0.03390983 -0.0289241  -0.02168376]",1D array of the twist angle being optimized at the n_opt locations.
blade.pa.s_opt_chord,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade chord
blade.pa.chord_opt,m,"[5.2        5.22887246 5.32139979 5.45815745 5.60208124 5.7149807
 5.76363444 5.71224007 5.53582246 5.29044097 5.03463453 4.81672445
 4.62324607 4.43206715 4.24549389 4.06615176 3.89609019 3.73526065
 3.57925926 3.42454996 3.26797252 3.11192294 2.957081   2.79989844
 2.63637418 2.46388072 2.28337164 2.09542709 1.90110459 0.5       ]",1D array of the chord being optimized at the n_opt locations.
